model,split,MAE,RMSE,MAPE,R2,n,label
Ridge,validation,1.2063305551098777,1.5543209006111582,105.0299408010651,0.5825234807745794,79346,1a_trina
Ridge,test,2.149532735421859,2.330364388175987,202.6490173881617,-1.968797200676268,79347,1a_trina
RandomForest,validation,1.028935463765921,1.4751062504987753,60.74414286721305,0.6239918256497964,79346,1a_trina
RandomForest,test,2.108815497707368,2.375124917313155,145.14514980538485,-2.0839389609412944,79347,1a_trina
