feature,importance
Radiation_Global_Tilted,0.6993970475319147
Global_Horizontal_Radiation,0.1276437690524078
Wind_Speed,0.0346178219985674
Wind_Direction,0.022555602887275053
Diffuse_Horizontal_Radiation,0.015593601032282097
Radiation_Diffuse_Tilted,0.0152542861609129
wind_direction_cos,0.01436189641246739
sin_day_of_year,0.010935916500705077
cos_day_of_year,0.009342002193486371
day_of_year,0.009031651895827738
tilted_to_global_ratio,0.008769521309558439
Weather_Temperature_Celsius,0.00835805705655024
wind_direction_sin,0.007066715411579278
Weather_Relative_Humidity,0.005821622463075785
cos_hour,0.004461981411445164
sin_hour,0.0033719017225465556
hour,0.0026623786486414318
month,0.0005370779299275531
Weather_Daily_Rainfall,0.00016181496101734947
rain_indicator,5.533341981189017e-05
