,era5_temperature_c,era5_relative_humidity_pct,era5_precipitation_mm,era5_cloud_cover_pct,era5_ghi_wm2,era5_dni_wm2,era5_dhi_wm2,era5_gti_wm2,era5_wind_speed_ms,era5_wind_direction_deg,era5_surface_pressure_hpa
era5_temperature_c,1.0,-0.591800967015932,0.010753319072552878,0.05829653295837298,0.6876338446096434,0.6546088990925344,0.6054921107605106,0.6834537613184588,0.31087867510572625,0.024908139839234452,-0.1424814016451681
era5_relative_humidity_pct,-0.591800967015932,1.0,0.04964754545224121,0.18581865412809612,-0.43300677278803046,-0.44274529121759143,-0.3151590178531126,-0.4292361743781241,-0.15103173803975053,0.06656179239284911,-0.19876425965521768
era5_precipitation_mm,0.010753319072552878,0.04964754545224121,1.0,0.07961304472421168,-0.02263186722785691,-0.03171559110573764,0.030795944221304453,-0.023565764264550954,-0.019258488576173887,-0.01564841886645642,0.026402738938948744
era5_cloud_cover_pct,0.05829653295837298,0.18581865412809612,0.07961304472421168,1.0,-0.08870716497629468,-0.2235507838145897,0.20979951870936575,-0.08164405725704285,0.05943131667571767,-0.05345122476850322,-0.3465640967348446
era5_ghi_wm2,0.6876338446096434,-0.43300677278803046,-0.02263186722785691,-0.08870716497629468,1.0,0.9285005168798772,0.7820869693030416,0.998922266869414,0.17295741354346783,0.041775399040924935,0.16168423191940728
era5_dni_wm2,0.6546088990925344,-0.44274529121759143,-0.03171559110573764,-0.2235507838145897,0.9285005168798772,1.0,0.6289734568795918,0.9129801720626073,0.17006663394207538,0.03834617000681103,0.24302580895631884
era5_dhi_wm2,0.6054921107605106,-0.3151590178531126,0.030795944221304453,0.20979951870936575,0.7820869693030416,0.6289734568795918,1.0,0.7803793077721364,0.172921003552312,0.0020610243411735944,-0.0008741991958386066
era5_gti_wm2,0.6834537613184588,-0.4292361743781241,-0.023565764264550954,-0.08164405725704285,0.998922266869414,0.9129801720626073,0.7803793077721364,1.0,0.17585556031632388,0.04400008014175883,0.15186191303024357
era5_wind_speed_ms,0.31087867510572625,-0.15103173803975053,-0.019258488576173887,0.05943131667571767,0.17295741354346783,0.17006663394207538,0.172921003552312,0.17585556031632388,1.0,-0.10584783494352,-0.296463079351244
era5_wind_direction_deg,0.024908139839234452,0.06656179239284911,-0.01564841886645642,-0.05345122476850322,0.041775399040924935,0.03834617000681103,0.0020610243411735944,0.04400008014175883,-0.10584783494352,1.0,0.19357319007877308
era5_surface_pressure_hpa,-0.1424814016451681,-0.19876425965521768,0.026402738938948744,-0.3465640967348446,0.16168423191940728,0.24302580895631884,-0.0008741991958386066,0.15186191303024357,-0.296463079351244,0.19357319007877308,1.0
